id,texto,tema,cluster
1,En el centro de salud no hay dosis pediátricas disponibles.,vacunas,3
2,¿Es seguro tomar suplementos de omega 3 todos los días?,nutricion,3
3,"Dermatitis por contacto con detergentes, ¿alguna crema?",dermato,3
4,¿La homeopatía tiene evidencia para alergias? en Buenos Aires,alternativas_y_suplementos,0
5,¿Signos de alarma de infarto en mujeres? en Cali,onco_cardiomet,0
6,Necesito un plan de alimentación para hipertensión. últimamente,nutricion,3
7,Visión borrosa al final del día frente al computador. en Bogotá para adulto mayor,oftalmo,3
8,"Tengo tos seca y fiebre bastante baja, podría ser influenza.",respiratorio_infeccioso,3
9,Seguimiento de nódulo tiroideo benigno. para adolescente,onco_cardiomet,3
10,"Uso banda elástica para hombro, progreso lento. en CDMX",rehabilitacion,10
11,Busco pediatra cerca que atienda sábado en la mañana.,pediatria,9
12,Estoy probando una app para registrar glucosa.,tecnologia_salud,1
13,Busco rutina de ejercicio para personas con asma leve.,actividad_fisica,3
14,Chequeo por antecedentes familiares de cáncer de mama.,onco_cardiomet,11
15,Me puse la vacuna de influenza y solo tuve dolor bastante en el brazo. si alguien sabe,vacunas,0
16,"Tengo dolor severo de rodilla al correr, ¿debo parar o estirar más?",actividad_fisica,3
17,Estoy reduciendo azúcar para controlar la glucemia.,nutricion,3
18,Busco ortodoncista que ofrezca alineadores transparentes. gracias,odontologia,3
19,Noté mareo después de iniciar un antihistamínico. si alguien sabe para adulto joven,farmacos,3
20,Dudas sobre aislamientos por influenza en oficinas. me ayudan para embarazada,salud_publica,3
21,"Uso banda elástica para hombro, progreso lento. para adulto joven",rehabilitacion,10
22,Rehabilitación post-COVID: fatiga moderado y disnea. hace 3 días gracias para adulto mayor,rehabilitacion,3
23,Noté mareo después de iniciar un antihistamínico.,farmacos,3
24,Tengo dudas sobre efectos secundarios de la vacuna del tétanos. en Buenos Aires,vacunas,0
25,Siesta corta mejora mi productividad.,sueno,3
26,¿Cómo funcionan los tamizajes de cáncer de colon? este mes para embarazada,salud_publica,6
27,Busco ortodoncista que ofrezca alineadores transparentes. en CDMX,odontologia,3
28,Quiero ideas de desayunos ricos en proteína y fibra. en Cali,nutricion,5
29,¿La cúrcuma realmente ayuda con la inflamación? desde la semana pasada en Medellín,alternativas_y_suplementos,3
30,¿La dieta mediterránea sirve para bajar el colesterol?,nutricion,0
31,"Me despierto a las 3am, ¿higiene del sueño? me ayudan",sueno,3
32,"Me recordaron la cita por WhatsApp, muy útil. desde la semana pasada agradezco sugerencias",telemedicina,3
33,"Co-pagos altos en urgencias, ¿es legal? este mes",admon_salud,3
34,¿El minoxidil ayuda en caída del cabello difusa? en Bogotá si alguien sabe,dermato,3
35,Aumentaron los casos de dengue en mi barrio. últimamente,salud_publica,3
36,Quiero ideas de desayunos ricos en proteína y fibra. últimamente en Buenos Aires,nutricion,5
37,"Sensibilidad dental tras blanqueamiento, ¿qué usar? este mes",odontologia,0
38,Estoy probando una app para registrar glucosa. en Medellín gracias,tecnologia_salud,1
39,Busco un psicólogo que atienda por telemedicina. en Bogotá si alguien sabe,salud_mental,3
40,Faltan donantes en el banco de sangre local.,salud_publica,3
41,"Tengo dolor leve de rodilla al correr, ¿debo parar o estirar más? por favor",actividad_fisica,3
42,¿Se puede enviar la fórmula por correo electrónico? me ayudan para adulto mayor,telemedicina,3
43,Control de colesterol LDL elevado pese a dieta. desde ayer gracias,onco_cardiomet,0
44,¿Interacciones entre sertralina y suplementos herbales? por favor,farmacos,3
45,Busco rutina nocturna para dormir mejor. desde ayer en Bogotá,sueno,3
46,Dolor lumbar crónico: ejercicios de core recomendados. últimamente,rehabilitacion,3
47,Busco un psicólogo que atienda por telemedicina. para embarazada,salud_mental,3
48,¿Lentes con filtro azul realmente ayudan? en Buenos Aires,oftalmo,0
49,"Me despierto a las 3am, ¿higiene del sueño? hace 3 días",sueno,3
50,La consulta virtual fue puntual y resolvió mis dudas. por favor,telemedicina,3
51,Chequeo por antecedentes familiares de cáncer de mama. en Medellín,onco_cardiomet,11
52,Empecé a caminar 10k pasos diarios y mejoró mi presión. en Cali gracias,actividad_fisica,3
53,¿El HIIT ayuda a la resistencia cardiovascular? para embarazada,actividad_fisica,4
54,Busco alternativas a los opioides para dolor un poco crónico. en CDMX,farmacos,3
55,Noté mareo después de iniciar un antihistamínico. para embarazada,farmacos,3
56,¿Los datos del wearable son aceptados por el médico? para niña de 6 años,tecnologia_salud,3
57,¿Protector solar mineral o químico para piel sensible? en CDMX por favor para adulto mayor,dermato,3
58,¿La melatonina crea dependencia? últimamente me ayudan,sueno,3
59,"Me recordaron la cita por WhatsApp, muy útil.",telemedicina,3
60,Me puse la vacuna de influenza y solo tuve dolor mucho en el brazo. hace 3 días,vacunas,0
61,Mi abuela tiene diabetes tipo 2 y necesita control de HbA1c. desde la semana pasada,cronicas,3
62,¿El minoxidil ayuda en caída del cabello difusa?,dermato,3
63,"Me preocupa el burnout en el hospital, ¿consejos? en Bogotá",salud_mental,3
64,¿Puedo tomar ibuprofeno si ya tomo enalapril? desde ayer en Cali para adolescente,farmacos,3
65,Empecé a caminar 10k pasos diarios y mejoró mi presión.,actividad_fisica,3
66,Busco pediatra cerca que atienda sábado en la mañana.,pediatria,9
67,"Me despierto a las 3am, ¿higiene del sueño? me ayudan",sueno,3
68,¿Prueba rápida de COVID aún es confiable? desde ayer,respiratorio_infeccioso,7
69,Campaña de lavado de manos en la escuela funcionó. hace 3 días,salud_publica,3
70,"Tengo tos seca y fiebre leve baja, podría ser influenza.",respiratorio_infeccioso,3
71,¿Cuándo es normal que erupcionen los dientes? para adulto joven,pediatria,3
72,Me cambiaron de red de prestadores sin aviso. en Bogotá me ayudan,admon_salud,0
73,¿Cada cuánto hay que hacer limpieza dental profesional? en CDMX,odontologia,0
74,"Una mancha nueva en la espalda, ¿debo ir al dermatólogo? en CDMX",dermato,3
75,Aumentaron los casos de dengue en mi barrio. hace 3 días agradezco sugerencias,salud_publica,3
76,¿Puedo tomar ibuprofeno si ya tomo enalapril? me ayudan para adolescente,farmacos,3
77,Busco clínica con buenas valoraciones en UCI. para embarazada,admon_salud,3
78,¿Cómo radicar una queja por demoras en citas? para adulto joven,admon_salud,2
79,"Ojo rojo con picazón, posiblemente conjuntivitis alérgica.",oftalmo,3
80,La terapia cognitivo-conductual me ayudó con la depresión. en Bogotá gracias,salud_mental,0
81,¿La cúrcuma realmente ayuda con la inflamación? en CDMX,alternativas_y_suplementos,3
82,Estoy ajustando la dosis de metformina según indicación médica. últimamente,cronicas,8
83,Aumentaron los casos de dengue en mi barrio. por favor,salud_publica,3
84,"Después de un esguince, ¿cuándo empezar fisioterapia? en CDMX",rehabilitacion,3
85,"Uso banda elástica para hombro, progreso lento. desde ayer en Buenos Aires",rehabilitacion,10
86,¿Prueba rápida de COVID aún es confiable? en Buenos Aires,respiratorio_infeccioso,7
87,Estoy probando una app para registrar glucosa. para adolescente,tecnologia_salud,1
88,Chequeo prenatal del segundo trimestre: ¿qué exámenes? este mes,gineco,3
89,¿Es seguro tomar suplementos de omega 3 todos los días? si alguien sabe,nutricion,3
90,"Dolor de muela al tomar frío, ¿puede ser caries? hace 3 días",odontologia,3
91,¿Cómo radicar una queja por demoras en citas?,admon_salud,2
92,¿La cúrcuma realmente ayuda con la inflamación? este mes gracias,alternativas_y_suplementos,3
93,¿Prueba rápida de COVID aún es confiable? desde ayer para adulto mayor,respiratorio_infeccioso,7
94,"Ronco fuerte, quizá apnea del sueño. en CDMX agradezco sugerencias",sueno,3
95,La EPS tardó en autorizar mi resonancia. en Medellín agradezco sugerencias,admon_salud,0
96,"Me recordaron la cita por WhatsApp, muy útil. para adulto joven",telemedicina,3
97,¿Cuándo es normal que erupcionen los dientes?,pediatria,3
98,"Tengo tos seca y fiebre un poco baja, podría ser influenza. este mes agradezco sugerencias",respiratorio_infeccioso,3
99,¿Es seguro tomar suplementos de omega 3 todos los días? desde la semana pasada para embarazada,nutricion,3
100,"Me preocupa el burnout en el hospital, ¿consejos? en Cali me ayudan",salud_mental,3
101,Visión borrosa al final del día frente al computador. desde la semana pasada por favor para embarazada,oftalmo,3
102,Me puse la vacuna de influenza y solo tuve dolor moderado en el brazo.,vacunas,0
103,En el centro de salud no hay dosis pediátricas disponibles. desde la semana pasada en Cali agradezco sugerencias,vacunas,3
104,Me cambiaron de red de prestadores sin aviso. en Buenos Aires,admon_salud,0
105,Estoy ajustando la dosis de metformina según indicación médica. desde ayer gracias para embarazada,cronicas,8
106,"Magnesio para calambres nocturnos, opiniones. gracias",alternativas_y_suplementos,0
107,¿Cómo radicar una queja por demoras en citas? para adulto joven,admon_salud,2
108,La consulta virtual fue puntual y resolvió mis dudas.,telemedicina,3
109,Síntomas de menopausia y manejo no hormonal. en Cali,gineco,0
110,¿Cómo funcionan los tamizajes de cáncer de colon?,salud_publica,6
111,La terapia cognitivo-conductual me ayudó con la depresión.,salud_mental,0
112,Seguimiento de nódulo tiroideo benigno. desde la semana pasada,onco_cardiomet,3
113,Estoy aprendiendo a medir la presión arterial en casa.,cronicas,3
114,"Ojo rojo con picazón, posiblemente conjuntivitis alérgica. para adulto joven",oftalmo,3
115,¿Prueba rápida de COVID aún es confiable?,respiratorio_infeccioso,7
116,¿Los datos del wearable son aceptados por el médico? para adolescente,tecnologia_salud,3
117,Busco rutina de ejercicio para personas con asma leve. en Cali si alguien sabe,actividad_fisica,3
118,Dudas sobre el calendario de vacunación infantil. desde ayer en Buenos Aires si alguien sabe,pediatria,0
119,Me puse la vacuna de influenza y solo tuve dolor moderado en el brazo. desde la semana pasada en Medellín,vacunas,0
120,¿Cuántos días a la semana recomiendan fuerza para salud?,actividad_fisica,3
121,¿La vacuna de refuerzo para COVID aún se recomienda este año?,vacunas,7
122,"Sensibilidad dental tras blanqueamiento, ¿qué usar? desde la semana pasada por favor",odontologia,0
123,¿Cuándo cambiar las gafas si tengo miopía estable?,oftalmo,3
124,¿Diferencia entre prediabetes e intolerancia a la glucosa? agradezco sugerencias para adulto joven,cronicas,3
125,¿Protector solar mineral o químico para piel sensible? desde la semana pasada para adulto mayor,dermato,3
126,La terapia cognitivo-conductual me ayudó con la depresión. por favor,salud_mental,0
127,Estoy probando una app para registrar glucosa. últimamente me ayudan,tecnologia_salud,1
128,¿La cúrcuma realmente ayuda con la inflamación? desde la semana pasada en Bogotá por favor,alternativas_y_suplementos,3
129,Dudas sobre tamoxifeno y su duración. últimamente,onco_cardiomet,0
130,Problemas para conectar mi tensiómetro a la app del hospital. gracias para adulto mayor,telemedicina,3
131,Síntomas de menopausia y manejo no hormonal. últimamente me ayudan,gineco,0
132,Síntomas de menopausia y manejo no hormonal. desde la semana pasada,gineco,0
133,Faltan donantes en el banco de sangre local.,salud_publica,3
134,¿Qué signos indican descompensación en insuficiencia cardíaca? desde ayer en Buenos Aires para niña de 6 años,cronicas,0
135,¿Cada cuánto hay que hacer limpieza dental profesional?,odontologia,0
136,Campaña de lavado de manos en la escuela funcionó. desde la semana pasada,salud_publica,3
137,Visión borrosa al final del día frente al computador.,oftalmo,3
138,"Dolor de muela al tomar frío, ¿puede ser caries? desde ayer si alguien sabe",odontologia,3
139,"Vi promoción de colágeno hidrolizado, ¿sirve?",alternativas_y_suplementos,0
140,Dudas sobre tamoxifeno y su duración. desde ayer en Buenos Aires,onco_cardiomet,0
141,Estoy ajustando la dosis de metformina según indicación médica. desde la semana pasada por favor,cronicas,8
142,Busco clínica con buenas valoraciones en UCI. en CDMX gracias,admon_salud,3
143,Busco ginecóloga para control anticonceptivo. desde ayer,gineco,3
144,Quiero ideas de desayunos ricos en proteína y fibra. en Cali,nutricion,5
145,¿La dieta mediterránea sirve para bajar el colesterol? en Buenos Aires,nutricion,0
146,¿Cuándo cambiar las gafas si tengo miopía estable? hace 3 días en Bogotá si alguien sabe,oftalmo,3
147,Me puse la vacuna de influenza y solo tuve dolor moderado en el brazo. en Bogotá me ayudan,vacunas,0
148,"Dermatitis por contacto con detergentes, ¿alguna crema? hace 3 días",dermato,3
149,"Sensibilidad dental tras blanqueamiento, ¿qué usar? desde ayer en Buenos Aires por favor",odontologia,0
150,Busco rutina nocturna para dormir mejor. en Buenos Aires por favor,sueno,0
151,Busco pediatra cerca que atienda sábado en la mañana. por favor,pediatria,9
152,Estoy aprendiendo a medir la presión arterial en casa.,cronicas,3
153,¿Es cierto que la vacuna de VPH protege contra varios tipos de cáncer? en Medellín,vacunas,3
154,¿La cúrcuma realmente ayuda con la inflamación? últimamente,alternativas_y_suplementos,3
155,¿El HIIT ayuda a la resistencia cardiovascular?,actividad_fisica,4
156,"Me preocupa el burnout en el hospital, ¿consejos? por favor",salud_mental,3
157,¿Diferencia entre prediabetes e intolerancia a la glucosa?,cronicas,3
158,"Molestia con lentes de contacto, quizá mala lubricación.",oftalmo,3
159,Estoy ajustando la dosis de metformina según indicación médica. desde la semana pasada en Medellín,cronicas,8
160,Busco ginecóloga para control anticonceptivo.,gineco,3
161,"Después de un esguince, ¿cuándo empezar fisioterapia? desde la semana pasada para adulto mayor",rehabilitacion,3
162,"Una mancha nueva en la espalda, ¿debo ir al dermatólogo? si alguien sabe para adulto joven",dermato,3
163,¿Protector solar mineral o químico para piel sensible? en Buenos Aires,dermato,3
164,¿Cómo firmo el consentimiento informado digital? desde ayer,telemedicina,3
165,"Molestia con lentes de contacto, quizá mala lubricación.",oftalmo,3
166,"Mi smartwatch reporta arritmias, ¿puede fallar?",tecnologia_salud,0
167,Dolor lumbar crónico: ejercicios de core recomendados. en CDMX,rehabilitacion,3
168,"Tengo dolor moderado de rodilla al correr, ¿debo parar o estirar más? si alguien sabe para adolescente",actividad_fisica,3
169,¿Lentes con filtro azul realmente ayudan?,oftalmo,3
170,Mi abuela tiene diabetes tipo 2 y necesita control de HbA1c. para niña de 6 años,cronicas,3
171,¿La cúrcuma realmente ayuda con la inflamación? este mes en Medellín para niña de 6 años,alternativas_y_suplementos,3
172,"Dolor de muela al tomar frío, ¿puede ser caries? últimamente en Bogotá si alguien sabe",odontologia,3
173,¿La vacuna de refuerzo para COVID aún se recomienda este año?,vacunas,7
174,"Me recordaron la cita por WhatsApp, muy útil. hace 3 días",telemedicina,3
175,Me preocupa la automedicación con antibióticos. en Medellín si alguien sabe,farmacos,3
176,"Una mancha nueva en la espalda, ¿debo ir al dermatólogo? hace 3 días en Bogotá",dermato,3
177,La consulta virtual fue puntual y resolvió mis dudas. desde ayer,telemedicina,3
178,¿La vacuna de refuerzo para COVID aún se recomienda este año?,vacunas,7
179,¿La cúrcuma realmente ayuda con la inflamación? me ayudan,alternativas_y_suplementos,3
180,¿Alguien ha probado mindfulness para el estrés mucho laboral? para adulto joven,salud_mental,3
181,Estoy ajustando la dosis de metformina según indicación médica. hace 3 días,cronicas,8
182,Busco pediatra cerca que atienda sábado en la mañana. desde ayer en Buenos Aires para niña de 6 años,pediatria,9
183,"Mi smartwatch reporta arritmias, ¿puede fallar? en Medellín si alguien sabe",tecnologia_salud,0
184,Mi hijo tiene fiebre un poco y tos desde anoche. desde la semana pasada,pediatria,3
185,¿Cuántos días a la semana recomiendan fuerza para salud?,actividad_fisica,3
186,Busco rutina de ejercicio para personas con asma leve. últimamente,actividad_fisica,3
187,¿Es normal el dolor un poco durante la menstruación? este mes en CDMX por favor,gineco,3
188,¿El HIIT ayuda a la resistencia cardiovascular? en Buenos Aires para niña de 6 años,actividad_fisica,4
189,"Uso banda elástica para hombro, progreso lento.",rehabilitacion,10
190,¿Cómo funcionan los tamizajes de cáncer de colon? en Buenos Aires,salud_publica,6
191,¿Es normal el dolor bastante durante la menstruación?,gineco,3
192,Tengo dudas sobre efectos secundarios de la vacuna del tétanos. hace 3 días para adolescente,vacunas,0
193,¿El minoxidil ayuda en caída del cabello difusa?,dermato,3
194,Busco clínica con buenas valoraciones en UCI. agradezco sugerencias,admon_salud,3
195,¿El minoxidil ayuda en caída del cabello difusa? en Buenos Aires,dermato,3
196,Congestión y dolor leve de garganta desde hace dos días. por favor,respiratorio_infeccioso,3
197,¿El minoxidil ayuda en caída del cabello difusa? en CDMX para niña de 6 años,dermato,3
198,"Me despierto a las 3am, ¿higiene del sueño? últimamente",sueno,3
199,¿Es normal el dolor moderado durante la menstruación?,gineco,3
200,Aumentaron los casos de dengue en mi barrio. para adolescente,salud_publica,3
201,¿La cúrcuma realmente ayuda con la inflamación? hace 3 días,alternativas_y_suplementos,3
202,Faltan donantes en el banco de sangre local. en Cali por favor,salud_publica,3
203,Faltan integraciones con la historia clínica electrónica.,tecnologia_salud,3
204,Tengo dudas sobre efectos secundarios de la vacuna del tétanos.,vacunas,0
205,¿Signos de alarma de infarto en mujeres?,onco_cardiomet,0
206,Faltan donantes en el banco de sangre local. desde ayer,salud_publica,3
207,¿Puedo tomar ibuprofeno si ya tomo enalapril?,farmacos,3
208,¿Se puede enviar la fórmula por correo electrónico?,telemedicina,3
209,"Vi promoción de colágeno hidrolizado, ¿sirve? en Medellín para adolescente",alternativas_y_suplementos,0
210,Chequeo por antecedentes familiares de cáncer de mama. hace 3 días si alguien sabe para adulto mayor,onco_cardiomet,11
211,¿Cada cuánto hay que hacer limpieza dental profesional? hace 3 días,odontologia,0
212,Empecé a caminar 10k pasos diarios y mejoró mi presión. agradezco sugerencias,actividad_fisica,3
213,La consulta virtual fue puntual y resolvió mis dudas. en Bogotá,telemedicina,3
214,¿La melatonina crea dependencia?,sueno,3
215,Busco pediatra cerca que atienda sábado en la mañana. últimamente si alguien sabe,pediatria,9
216,Control de colesterol LDL elevado pese a dieta. desde la semana pasada,onco_cardiomet,0
217,¿Puedo tomar ibuprofeno si ya tomo enalapril? desde la semana pasada,farmacos,3
218,¿Se puede enviar la fórmula por correo electrónico? para adulto joven,telemedicina,3
219,¿La dieta mediterránea sirve para bajar el colesterol? en Buenos Aires,nutricion,0
220,Dudas sobre el calendario de vacunación infantil. para embarazada,pediatria,3
221,¿Cuándo es normal que erupcionen los dientes? gracias para adulto joven,pediatria,3
222,¿Cuántos días a la semana recomiendan fuerza para salud? desde ayer si alguien sabe,actividad_fisica,3
223,Últimamente la ansiedad leve me impide dormir bien. hace 3 días si alguien sabe,salud_mental,0
224,Busco clínica con buenas valoraciones en UCI. desde ayer,admon_salud,3
225,¿Terapia ocupacional para recuperar movilidad de mano? últimamente,rehabilitacion,3
226,¿Cómo firmo el consentimiento informado digital?,telemedicina,3
227,Noté mareo después de iniciar un antihistamínico. agradezco sugerencias,farmacos,3
228,Me puse la vacuna de influenza y solo tuve dolor severo en el brazo. en Medellín si alguien sabe,vacunas,0
229,¿Cómo funcionan los tamizajes de cáncer de colon?,salud_publica,6
230,Busco rutina de ejercicio para personas con asma leve. desde la semana pasada,actividad_fisica,3
231,"Me despierto a las 3am, ¿higiene del sueño? hace 3 días",sueno,3
232,¿Qué signos indican descompensación en insuficiencia cardíaca? desde ayer,cronicas,0
233,Busco ginecóloga para control anticonceptivo.,gineco,3
234,Quiero ideas de desayunos ricos en proteína y fibra. en Buenos Aires,nutricion,5
235,Rehabilitación post-COVID: fatiga leve y disnea.,rehabilitacion,3
236,Congestión y dolor bastante de garganta desde hace dos días.,respiratorio_infeccioso,3
237,Problemas para conectar mi tensiómetro a la app del hospital.,telemedicina,3
238,Chequeo por antecedentes familiares de cáncer de mama. para niña de 6 años,onco_cardiomet,11
239,Dudas sobre aislamientos por influenza en oficinas. este mes en Cali,salud_publica,3
240,La terapia cognitivo-conductual me ayudó con la depresión. si alguien sabe,salud_mental,0
241,¿Se puede enviar la fórmula por correo electrónico? hace 3 días,telemedicina,3
242,Broncoespasmo nocturno con ejercicio vespertino. desde la semana pasada,respiratorio_infeccioso,3
243,¿La homeopatía tiene evidencia para alergias?,alternativas_y_suplementos,3
244,"Mi smartwatch reporta arritmias, ¿puede fallar? desde la semana pasada en Medellín",tecnologia_salud,0
245,¿Prueba rápida de COVID aún es confiable? en Medellín me ayudan,respiratorio_infeccioso,7
246,Busco pediatra cerca que atienda sábado en la mañana. este mes en Bogotá si alguien sabe,pediatria,9
247,"Me despierto a las 3am, ¿higiene del sueño? desde la semana pasada",sueno,3
248,Síntomas de menopausia y manejo no hormonal. en Buenos Aires,gineco,0
249,"Tengo tos seca y fiebre mucho baja, podría ser influenza. desde ayer por favor",respiratorio_infeccioso,3
250,"Molestia con lentes de contacto, quizá mala lubricación. gracias",oftalmo,3
251,Síntomas de menopausia y manejo no hormonal. para adulto joven,gineco,0
