id,texto,tema,cluster
252,Me cambiaron de red de prestadores sin aviso. hace 3 días,admon_salud,0
253,¿Cuándo es normal que erupcionen los dientes?,pediatria,3
254,¿Cuándo cambiar las gafas si tengo miopía estable? este mes en Buenos Aires para embarazada,oftalmo,0
255,"Me preocupa el burnout en el hospital, ¿consejos? este mes en Medellín gracias",salud_mental,3
256,Broncoespasmo nocturno con ejercicio vespertino.,respiratorio_infeccioso,3
257,¿Cada cuánto hay que hacer limpieza dental profesional? en Cali,odontologia,0
258,Busco alternativas a los opioides para dolor bastante crónico.,farmacos,3
259,"Dolor de muela al tomar frío, ¿puede ser caries? últimamente",odontologia,3
260,Control de colesterol LDL elevado pese a dieta. en Bogotá para niña de 6 años,onco_cardiomet,0
261,Rehabilitación post-COVID: fatiga mucho y disnea.,rehabilitacion,3
262,"Me despierto a las 3am, ¿higiene del sueño? me ayudan",sueno,3
263,¿Alguien ha probado mindfulness para el estrés moderado laboral? últimamente en Bogotá,salud_mental,3
264,Tengo acné adulto resistente a tratamientos. desde la semana pasada,dermato,3
265,Estoy reduciendo azúcar para controlar la glucemia. hace 3 días en Medellín,nutricion,3
266,Noté mareo después de iniciar un antihistamínico. si alguien sabe,farmacos,3
267,Busco alternativas a los opioides para dolor severo crónico.,farmacos,3
268,¿Cómo radicar una queja por demoras en citas? en Bogotá,admon_salud,2
269,Busco ortodoncista que ofrezca alineadores transparentes.,odontologia,3
270,Tengo dudas sobre efectos secundarios de la vacuna del tétanos. en Medellín,vacunas,0
271,¿Es seguro tomar suplementos de omega 3 todos los días? para adulto mayor,nutricion,3
272,Campaña de lavado de manos en la escuela funcionó.,salud_publica,3
273,Chequeo por antecedentes familiares de cáncer de mama. últimamente,onco_cardiomet,11
274,¿Puedo tomar ibuprofeno si ya tomo enalapril?,farmacos,3
275,¿La homeopatía tiene evidencia para alergias? para adolescente,alternativas_y_suplementos,3
276,¿Diferencia entre prediabetes e intolerancia a la glucosa? hace 3 días en CDMX,cronicas,3
277,Estoy probando una app para registrar glucosa. para embarazada,tecnologia_salud,1
278,"Dermatitis por contacto con detergentes, ¿alguna crema? en Bogotá por favor",dermato,3
279,La consulta virtual fue puntual y resolvió mis dudas. en Buenos Aires me ayudan,telemedicina,3
280,Mi hijo tiene fiebre severo y tos desde anoche. para niña de 6 años,pediatria,3
281,¿Cómo radicar una queja por demoras en citas? en CDMX para adulto joven,admon_salud,2
282,Campaña de lavado de manos en la escuela funcionó.,salud_publica,3
283,¿Se puede enviar la fórmula por correo electrónico?,telemedicina,3
284,¿Qué signos indican descompensación en insuficiencia cardíaca? para embarazada,cronicas,0
285,Mi abuela tiene diabetes tipo 2 y necesita control de HbA1c. en Medellín gracias para adulto mayor,cronicas,3
286,¿Cuándo cambiar las gafas si tengo miopía estable? en Buenos Aires me ayudan,oftalmo,0
287,¿Cómo funcionan los tamizajes de cáncer de colon? este mes por favor,salud_publica,6
288,Quiero ideas de desayunos ricos en proteína y fibra. en Medellín gracias para adolescente,nutricion,5
289,¿La melatonina crea dependencia? hace 3 días,sueno,3
290,¿La vacuna de refuerzo para COVID aún se recomienda este año? desde la semana pasada en CDMX agradezco sugerencias,vacunas,7
291,"Me despierto a las 3am, ¿higiene del sueño? desde la semana pasada en Medellín",sueno,3
292,Busco ortodoncista que ofrezca alineadores transparentes.,odontologia,3
293,Síntomas de menopausia y manejo no hormonal. desde la semana pasada en Bogotá,gineco,0
294,Congestión y dolor bastante de garganta desde hace dos días. últimamente,respiratorio_infeccioso,3
295,Estoy aprendiendo a medir la presión arterial en casa. últimamente en Buenos Aires,cronicas,0
296,Me recomendaron probióticos para SII. en Medellín,alternativas_y_suplementos,0
297,¿Qué signos indican descompensación en insuficiencia cardíaca?,cronicas,0
298,Estoy ajustando la dosis de metformina según indicación médica.,cronicas,8
299,"Uso banda elástica para hombro, progreso lento. desde la semana pasada en Medellín",rehabilitacion,10
300,"Molestia con lentes de contacto, quizá mala lubricación. desde ayer",oftalmo,3
301,Campaña de lavado de manos en la escuela funcionó.,salud_publica,3
302,Dudas sobre el calendario de vacunación infantil. me ayudan para adolescente,pediatria,3
303,"Uso banda elástica para hombro, progreso lento.",rehabilitacion,10
304,¿Interacciones entre sertralina y suplementos herbales? en Bogotá agradezco sugerencias,farmacos,3
305,Últimamente la ansiedad bastante me impide dormir bien. en Cali,salud_mental,0
306,"Mi smartwatch reporta arritmias, ¿puede fallar? desde la semana pasada para niña de 6 años",tecnologia_salud,0
307,¿El HIIT ayuda a la resistencia cardiovascular? en CDMX si alguien sabe para niña de 6 años,actividad_fisica,4
308,Rehabilitación post-COVID: fatiga leve y disnea. hace 3 días,rehabilitacion,3
309,La consulta virtual fue puntual y resolvió mis dudas. últimamente para adolescente,telemedicina,3
310,"Magnesio para calambres nocturnos, opiniones. últimamente en Bogotá agradezco sugerencias para adulto joven",alternativas_y_suplementos,0
311,Estoy probando una app para registrar glucosa. desde la semana pasada en CDMX me ayudan,tecnologia_salud,1
312,Dolor lumbar crónico: ejercicios de core recomendados.,rehabilitacion,3
313,¿El HIIT ayuda a la resistencia cardiovascular?,actividad_fisica,4
314,Chequeo prenatal del segundo trimestre: ¿qué exámenes?,gineco,3
315,Chequeo por antecedentes familiares de cáncer de mama. desde la semana pasada,onco_cardiomet,11
316,¿El minoxidil ayuda en caída del cabello difusa? desde ayer me ayudan,dermato,3
317,¿Signos de alarma de infarto en mujeres? desde la semana pasada en Cali agradezco sugerencias,onco_cardiomet,0
318,¿Qué signos indican descompensación en insuficiencia cardíaca? hace 3 días,cronicas,0
319,Me puse la vacuna de influenza y solo tuve dolor moderado en el brazo. hace 3 días para adolescente,vacunas,0
320,Quiero ideas de desayunos ricos en proteína y fibra. para niña de 6 años,nutricion,5
321,¿Signos de alarma de infarto en mujeres?,onco_cardiomet,0
322,"Dermatitis por contacto con detergentes, ¿alguna crema? agradezco sugerencias",dermato,3
323,¿Protector solar mineral o químico para piel sensible? desde ayer en Buenos Aires para adolescente,dermato,3
324,Dudas sobre el calendario de vacunación infantil.,pediatria,3
325,¿Interacciones entre sertralina y suplementos herbales?,farmacos,3
326,¿El HIIT ayuda a la resistencia cardiovascular?,actividad_fisica,4
327,Dudas sobre el calendario de vacunación infantil. en CDMX,pediatria,3
328,Busco rutina nocturna para dormir mejor. agradezco sugerencias,sueno,3
329,Busco ginecóloga para control anticonceptivo. en Bogotá,gineco,3
330,En el centro de salud no hay dosis pediátricas disponibles. para adulto joven,vacunas,3
331,¿Diferencia entre prediabetes e intolerancia a la glucosa? desde ayer,cronicas,3
332,"Me preocupa el burnout en el hospital, ¿consejos? para adulto joven",salud_mental,3
333,Empecé a caminar 10k pasos diarios y mejoró mi presión. hace 3 días me ayudan,actividad_fisica,3
334,La EPS tardó en autorizar mi resonancia. desde ayer,admon_salud,0
335,"Ronco fuerte, quizá apnea del sueño. si alguien sabe",sueno,3
336,¿Es cierto que la vacuna de VPH protege contra varios tipos de cáncer? en Medellín para adulto joven,vacunas,3
337,"Molestia con lentes de contacto, quizá mala lubricación. gracias",oftalmo,3
338,"Sensibilidad dental tras blanqueamiento, ¿qué usar? en Medellín",odontologia,0
339,¿Es seguro tomar suplementos de omega 3 todos los días? en Bogotá,nutricion,3
340,"Magnesio para calambres nocturnos, opiniones.",alternativas_y_suplementos,0
341,¿Protector solar mineral o químico para piel sensible? en CDMX por favor,dermato,3
342,"Ronco fuerte, quizá apnea del sueño. últimamente",sueno,3
343,Últimamente la ansiedad bastante me impide dormir bien. este mes,salud_mental,0
344,Busco rutina de ejercicio para personas con asma leve. desde la semana pasada,actividad_fisica,3
345,Busco ortodoncista que ofrezca alineadores transparentes. en Medellín para adolescente,odontologia,3
346,Últimamente la ansiedad moderado me impide dormir bien. en CDMX por favor,salud_mental,0
347,"Magnesio para calambres nocturnos, opiniones. en Bogotá",alternativas_y_suplementos,0
348,"Co-pagos altos en urgencias, ¿es legal? hace 3 días",admon_salud,3
349,"Después de un esguince, ¿cuándo empezar fisioterapia?",rehabilitacion,3
350,Síntomas de menopausia y manejo no hormonal.,gineco,0
351,La EPS tardó en autorizar mi resonancia. gracias,admon_salud,0
352,"Tengo tos seca y fiebre leve baja, podría ser influenza. gracias",respiratorio_infeccioso,3
353,¿El HIIT ayuda a la resistencia cardiovascular?,actividad_fisica,4
354,"Vi promoción de colágeno hidrolizado, ¿sirve? para embarazada",alternativas_y_suplementos,0
355,Dudas sobre aislamientos por influenza en oficinas. últimamente gracias,salud_publica,3
356,¿Lentes con filtro azul realmente ayudan? en Cali,oftalmo,3
357,¿Es normal el dolor un poco durante la menstruación? últimamente,gineco,3
358,Busco rutina nocturna para dormir mejor. hace 3 días para niña de 6 años,sueno,3
359,"Me recordaron la cita por WhatsApp, muy útil. este mes",telemedicina,3
360,¿Es normal el dolor bastante durante la menstruación?,gineco,3
361,¿Los datos del wearable son aceptados por el médico?,tecnologia_salud,3
362,Necesito un plan de alimentación para hipertensión. en CDMX,nutricion,3
363,"Mi smartwatch reporta arritmias, ¿puede fallar?",tecnologia_salud,0
364,Busco un psicólogo que atienda por telemedicina. en Medellín agradezco sugerencias,salud_mental,3
365,"Tengo tos seca y fiebre severo baja, podría ser influenza. hace 3 días si alguien sabe",respiratorio_infeccioso,3
366,Me recomendaron probióticos para SII.,alternativas_y_suplementos,0
367,¿Protector solar mineral o químico para piel sensible? agradezco sugerencias,dermato,3
368,Noté mareo después de iniciar un antihistamínico. desde la semana pasada,farmacos,3
369,¿Cómo firmo el consentimiento informado digital? si alguien sabe,telemedicina,3
370,Noté mareo después de iniciar un antihistamínico.,farmacos,3
371,La consulta virtual fue puntual y resolvió mis dudas. para niña de 6 años,telemedicina,3
372,¿Es cierto que la vacuna de VPH protege contra varios tipos de cáncer? desde la semana pasada para adulto joven,vacunas,3
373,¿Cómo manejar diarrea leve en niños?,pediatria,3
374,"Magnesio para calambres nocturnos, opiniones. este mes",alternativas_y_suplementos,0
375,Faltan integraciones con la historia clínica electrónica. este mes en Medellín agradezco sugerencias,tecnologia_salud,3
376,¿La vacuna de refuerzo para COVID aún se recomienda este año?,vacunas,7
377,Estoy ajustando la dosis de metformina según indicación médica.,cronicas,8
378,Broncoespasmo nocturno con ejercicio vespertino.,respiratorio_infeccioso,3
379,Problemas para conectar mi tensiómetro a la app del hospital. desde la semana pasada en CDMX,telemedicina,3
380,Estoy probando una app para registrar glucosa. en CDMX,tecnologia_salud,1
381,Me recomendaron probióticos para SII. desde ayer en Buenos Aires,alternativas_y_suplementos,0
382,Busco pediatra cerca que atienda sábado en la mañana. hace 3 días en Bogotá para niña de 6 años,pediatria,9
383,¿Prueba rápida de COVID aún es confiable? este mes,respiratorio_infeccioso,7
384,"Tengo tos seca y fiebre severo baja, podría ser influenza. este mes para embarazada",respiratorio_infeccioso,3
385,"Uso banda elástica para hombro, progreso lento. en Cali para adolescente",rehabilitacion,10
386,Campaña de lavado de manos en la escuela funcionó.,salud_publica,3
387,Necesito un plan de alimentación para hipertensión. en CDMX,nutricion,3
388,Busco pediatra cerca que atienda sábado en la mañana. para adulto mayor,pediatria,9
389,Control de colesterol LDL elevado pese a dieta. en Medellín,onco_cardiomet,0
390,La EPS tardó en autorizar mi resonancia. últimamente para adulto joven,admon_salud,0
391,¿Es cierto que la vacuna de VPH protege contra varios tipos de cáncer? agradezco sugerencias,vacunas,3
392,"Una mancha nueva en la espalda, ¿debo ir al dermatólogo? desde ayer por favor",dermato,3
393,Visión borrosa al final del día frente al computador.,oftalmo,3
394,La EPS tardó en autorizar mi resonancia. en Bogotá me ayudan,admon_salud,0
395,Tengo acné adulto resistente a tratamientos.,dermato,3
396,Aumentaron los casos de dengue en mi barrio.,salud_publica,3
397,Mi hijo tiene fiebre severo y tos desde anoche. en Buenos Aires gracias,pediatria,0
398,Busco alternativas a los opioides para dolor un poco crónico.,farmacos,3
399,Dudas sobre el DIU de cobre versus hormonal. si alguien sabe,gineco,3
400,"Magnesio para calambres nocturnos, opiniones. desde la semana pasada",alternativas_y_suplementos,0
401,Alarmas de frecuencia cardiaca muy sensibles. en CDMX por favor para adulto joven,tecnologia_salud,3
402,¿Puedo tomar ibuprofeno si ya tomo enalapril? en Bogotá,farmacos,3
403,Dudas sobre tamoxifeno y su duración. en Medellín,onco_cardiomet,0
404,Rehabilitación post-COVID: fatiga leve y disnea. este mes en Cali gracias,rehabilitacion,3
405,Rehabilitación post-COVID: fatiga moderado y disnea. desde la semana pasada,rehabilitacion,3
406,Me recomendaron probióticos para SII. desde ayer,alternativas_y_suplementos,0
407,Quiero ideas de desayunos ricos en proteína y fibra. desde ayer si alguien sabe para adolescente,nutricion,5
408,Últimamente la ansiedad moderado me impide dormir bien. en Medellín,salud_mental,0
409,Busco rutina nocturna para dormir mejor. desde la semana pasada,sueno,3
410,¿Cuándo cambiar las gafas si tengo miopía estable? me ayudan,oftalmo,3
411,Faltan integraciones con la historia clínica electrónica. este mes para niña de 6 años,tecnologia_salud,3
412,¿Cuándo cambiar las gafas si tengo miopía estable? agradezco sugerencias,oftalmo,3
413,¿Signos de alarma de infarto en mujeres? en Medellín,onco_cardiomet,0
414,Quiero ideas de desayunos ricos en proteína y fibra. últimamente para adolescente,nutricion,5
415,Chequeo prenatal del segundo trimestre: ¿qué exámenes? para embarazada,gineco,3
416,Necesito un plan de alimentación para hipertensión. desde ayer en Cali agradezco sugerencias para embarazada,nutricion,3
417,Estoy probando una app para registrar glucosa. últimamente,tecnologia_salud,1
418,Dolor lumbar crónico: ejercicios de core recomendados. desde ayer gracias para adulto mayor,rehabilitacion,3
419,Alarmas de frecuencia cardiaca muy sensibles. gracias para adolescente,tecnologia_salud,3
420,"Ojo rojo con picazón, posiblemente conjuntivitis alérgica. en Medellín agradezco sugerencias para niña de 6 años",oftalmo,3
421,Dudas sobre aislamientos por influenza en oficinas. desde la semana pasada gracias,salud_publica,3
422,Congestión y dolor severo de garganta desde hace dos días. este mes,respiratorio_infeccioso,3
423,"Después de un esguince, ¿cuándo empezar fisioterapia?",rehabilitacion,3
424,Tengo dudas sobre efectos secundarios de la vacuna del tétanos.,vacunas,0
425,¿Protector solar mineral o químico para piel sensible? desde la semana pasada,dermato,3
426,"Dolor de muela al tomar frío, ¿puede ser caries? para niña de 6 años",odontologia,3
427,¿Interacciones entre sertralina y suplementos herbales? en Buenos Aires para adolescente,farmacos,3
428,Problemas para conectar mi tensiómetro a la app del hospital. en Medellín para adolescente,telemedicina,3
429,¿Cada cuánto hay que hacer limpieza dental profesional? en Cali,odontologia,0
430,Dudas sobre el calendario de vacunación infantil. últimamente en Cali me ayudan,pediatria,3
431,Busco ortodoncista que ofrezca alineadores transparentes.,odontologia,3
432,Faltan integraciones con la historia clínica electrónica.,tecnologia_salud,3
433,Últimamente la ansiedad moderado me impide dormir bien. me ayudan,salud_mental,0
434,La terapia cognitivo-conductual me ayudó con la depresión.,salud_mental,0
435,"Mi smartwatch reporta arritmias, ¿puede fallar? en Buenos Aires gracias para adolescente",tecnologia_salud,0
436,¿La melatonina crea dependencia? en Buenos Aires si alguien sabe,sueno,0
437,¿Cómo firmo el consentimiento informado digital?,telemedicina,3
438,¿Interacciones entre sertralina y suplementos herbales? agradezco sugerencias,farmacos,3
439,¿Lentes con filtro azul realmente ayudan? desde la semana pasada si alguien sabe,oftalmo,3
440,Seguimiento de nódulo tiroideo benigno. si alguien sabe,onco_cardiomet,3
441,La EPS tardó en autorizar mi resonancia. en CDMX gracias,admon_salud,0
442,¿Cómo funcionan los tamizajes de cáncer de colon?,salud_publica,6
443,Seguimiento de nódulo tiroideo benigno. en Medellín me ayudan,onco_cardiomet,3
444,¿El HIIT ayuda a la resistencia cardiovascular?,actividad_fisica,4
445,¿Es normal el dolor bastante durante la menstruación? para adulto mayor,gineco,3
446,¿Antibióticos para sinusitis siempre son necesarios? hace 3 días,respiratorio_infeccioso,3
447,Estoy probando una app para registrar glucosa. en Medellín,tecnologia_salud,1
448,Dudas sobre el DIU de cobre versus hormonal. en Cali gracias,gineco,3
449,¿Es cierto que la vacuna de VPH protege contra varios tipos de cáncer? para niña de 6 años,vacunas,3
450,Quiero ideas de desayunos ricos en proteína y fibra.,nutricion,5
451,¿El HIIT ayuda a la resistencia cardiovascular?,actividad_fisica,4
452,"Vi promoción de colágeno hidrolizado, ¿sirve? este mes",alternativas_y_suplementos,0
453,Estoy aprendiendo a medir la presión arterial en casa. gracias,cronicas,3
454,Busco rutina de ejercicio para personas con asma leve. desde ayer para niña de 6 años,actividad_fisica,3
455,¿El HIIT ayuda a la resistencia cardiovascular? agradezco sugerencias para embarazada,actividad_fisica,4
456,¿Es normal el dolor un poco durante la menstruación? agradezco sugerencias para adolescente,gineco,3
457,Alarmas de frecuencia cardiaca muy sensibles. desde la semana pasada en CDMX,tecnologia_salud,3
458,¿La dieta mediterránea sirve para bajar el colesterol?,nutricion,0
459,¿La dieta mediterránea sirve para bajar el colesterol? en Cali,nutricion,0
460,¿Cómo funcionan los tamizajes de cáncer de colon? desde ayer en Medellín,salud_publica,6
461,"Tengo tos seca y fiebre un poco baja, podría ser influenza. para adulto mayor",respiratorio_infeccioso,3
462,"Co-pagos altos en urgencias, ¿es legal? últimamente",admon_salud,3
463,¿Terapia ocupacional para recuperar movilidad de mano? agradezco sugerencias,rehabilitacion,3
464,Me sangran las encías al cepillarme.,odontologia,3
465,La EPS tardó en autorizar mi resonancia. este mes en Bogotá si alguien sabe,admon_salud,0
466,Visión borrosa al final del día frente al computador.,oftalmo,3
467,¿El minoxidil ayuda en caída del cabello difusa? gracias para adulto mayor,dermato,3
468,¿Es cierto que la vacuna de VPH protege contra varios tipos de cáncer?,vacunas,3
469,Siesta corta mejora mi productividad. últimamente en CDMX para adulto mayor,sueno,3
470,Chequeo por antecedentes familiares de cáncer de mama. en CDMX me ayudan para adolescente,onco_cardiomet,11
471,¿Cómo radicar una queja por demoras en citas? desde ayer,admon_salud,2
472,Dudas sobre el calendario de vacunación infantil. desde ayer,pediatria,3
473,Últimamente la ansiedad un poco me impide dormir bien.,salud_mental,0
474,Me preocupa la automedicación con antibióticos. desde la semana pasada en CDMX me ayudan,farmacos,3
475,Faltan integraciones con la historia clínica electrónica. desde ayer en Cali,tecnologia_salud,3
476,Estoy ajustando la dosis de metformina según indicación médica. desde la semana pasada,cronicas,8
477,Me cambiaron de red de prestadores sin aviso.,admon_salud,0
478,Visión borrosa al final del día frente al computador. en Buenos Aires,oftalmo,3
479,Tengo acné adulto resistente a tratamientos. para embarazada,dermato,3
480,¿Cómo radicar una queja por demoras en citas?,admon_salud,2
481,¿Antibióticos para sinusitis siempre son necesarios? agradezco sugerencias,respiratorio_infeccioso,3
482,"Dolor de muela al tomar frío, ¿puede ser caries? en Buenos Aires agradezco sugerencias",odontologia,3
483,Busco ginecóloga para control anticonceptivo. en Medellín,gineco,3
484,Me sangran las encías al cepillarme.,odontologia,3
485,Chequeo por antecedentes familiares de cáncer de mama. si alguien sabe para adulto mayor,onco_cardiomet,11
486,Mi hijo tiene fiebre moderado y tos desde anoche. este mes para adolescente,pediatria,3
487,Chequeo por antecedentes familiares de cáncer de mama.,onco_cardiomet,11
488,Me recomendaron probióticos para SII. este mes,alternativas_y_suplementos,0
489,"Dolor de muela al tomar frío, ¿puede ser caries? desde ayer",odontologia,3
490,Mi abuela tiene diabetes tipo 2 y necesita control de HbA1c. desde la semana pasada,cronicas,3
491,"Ojo rojo con picazón, posiblemente conjuntivitis alérgica.",oftalmo,3
492,Busco rutina nocturna para dormir mejor.,sueno,3
493,Busco ginecóloga para control anticonceptivo. en Bogotá,gineco,3
494,Busco ortodoncista que ofrezca alineadores transparentes. en Cali para adulto mayor,odontologia,3
495,¿Terapia ocupacional para recuperar movilidad de mano? desde la semana pasada,rehabilitacion,3
496,¿Se puede enviar la fórmula por correo electrónico? hace 3 días agradezco sugerencias para adolescente,telemedicina,3
497,"Tengo tos seca y fiebre moderado baja, podría ser influenza. para adolescente",respiratorio_infeccioso,3
498,"Me preocupa el burnout en el hospital, ¿consejos? en Medellín para niña de 6 años",salud_mental,3
499,"Me preocupa el burnout en el hospital, ¿consejos? desde ayer para adulto joven",salud_mental,3
500,Congestión y dolor un poco de garganta desde hace dos días. hace 3 días,respiratorio_infeccioso,3
